,stop_id,code_departement,code_postal,stop_lat,stop_lon
242,1867,75,75106,48.85284513365445,2.335143718516068
243,1873,93,93048,48.862280986339,2.441827679127713
247,1886,75,75118,48.890374081221125,2.359797008670612
248,1891,93,93055,48.891499383764256,2.4031249606560765
251,1906,75,75118,48.89249697693026,2.3443284105515048
255,1917,75,75116,48.85809504968323,2.274096448110612
256,1919,94,94068,48.79493354483859,2.5130447577249475
257,1922,75,75119,48.8849316105461,2.379091246899838
259,1925,94,94043,48.810385125129486,2.3618306830911315
260,1932,93,93055,48.89363252797401,2.41290026603005
261,1933,92,92062,48.88835806016618,2.249937212862802
262,1934,75,75101,48.86371036646956,2.3489831961271017
264,1941,92,92002,48.74332114096612,2.2964154671011205
265,1956,75,75112,48.84447215598317,2.373911421295138
267,1960,94,94037,48.81524997901088,2.340929177533096
268,1961,75,75108,48.87204561942636,2.300769185644953
272,1975,75,75104,48.85568485028629,2.346202929528716
273,1977,75,75105,48.85079575570429,2.3450308883652258
274,1980,75,75108,48.86567809641779,2.321193771801867
277,1993,93,93048,48.857999073258,2.435866895674707
278,1997,75,75114,48.833998236748336,2.333238501158801
279,2009,75,75117,48.89062663302413,2.320191121275328
280,2013,75,75119,48.877803956007845,2.3812110997359883
282,2026,75,75116,48.845104139567006,2.266936059032254
286,2071,75,75118,48.88377051883179,2.332485148274094
288,2091,75,75118,48.88557692951087,2.3425422354115337
290,2096,75,75118,48.882871690180586,2.344163572800391
291,2097,94,94016,48.79844250773501,2.328044198978203
293,2105,93,93005,48.93210876263909,2.493309562581326
295,2119,93,93007,48.93220116999761,2.4767508712199087
296,2123,94,94004,48.752988644666615,2.5052228459567494
299,2152,75,75118,48.88708628305045,2.3493700732513783
300,2154,94,94080,48.84432514436857,2.440552346211822
301,2156,75,75118,48.8843997149084,2.338399384171042
302,2159,75,75114,48.82806601968645,2.326827420050836
304,2168,75,75110,48.87818498179219,2.3701745466363584
305,2179,75,75108,48.87927215163157,2.303298546682486
307,2194,92,92012,48.84068016312195,2.228313661724341
308,2199,93,93001,48.91405674514657,2.403576334511007
309,2203,75,75114,48.83875182138864,2.322509186224712
314,2222,75,75101,48.86146371055862,2.346844131603014
322,2277,75,75117,48.88253647289218,2.311009243005514
325,2293,75,75107,48.86085078966753,2.314548112626649
326,2301,94,94041,48.81121453549021,2.383508928732683
327,2303,75,75113,48.832881288678834,2.361909408016197
329,2308,75,75109,48.876050554237366,2.337908692037609
333,2341,92,92044,48.89730990517954,2.2807686428069003
334,2358,75,75108,48.87353214061607,2.315578024866189
338,2388,92,92002,48.770631071014726,2.310222723494766
342,2414,75,75116,48.87179221641751,2.27486996119569
344,2422,75,75119,48.89752915689145,2.3856442301273044
345,2425,75,75116,48.83756533447362,2.255591274447898
347,2433,75,75117,48.87800617627899,2.282465640001333
348,2435,75,75101,48.86649698703855,2.334094215259097
349,2445,75,75111,48.860488412845775,2.37192043750214
351,2450,92,92071,48.78003132105507,2.281059378471848
354,2462,93,93066,48.92992666527093,2.3561861491888694
356,2478,75,75118,48.894042554516574,2.3473135785509056
359,2501,75,75115,48.83943928123955,2.301078042473925
360,2503,93,93078,48.94425695476604,2.5668557510229477
361,2507,93,93071,48.94773765113627,2.524042278144985
362,2508,93,93078,48.96316755011165,2.5123878278590865
363,2509,75,75117,48.88132429394468,2.316596761508817
369,2537,75,75115,48.84901892834976,2.297762160707931
370,2541,75,75115,48.84686470206919,2.307268847578926
371,2551,75,75118,48.88469617855217,2.342610282962049
373,3343336,75,75115,48.83866812903008,2.2822484883840986
375,3343339,75,75115,48.84102535532167,2.287923867330867
376,3343758,75,75107,48.85426092155411,2.305439560539011
377,3343760,75,75107,48.85722786064964,2.3097962258273563
380,3343773,75,75109,48.87057675358199,2.348494293710928
382,3343787,75,75112,48.85119416536367,2.3759317370128947
384,3343793,75,75112,48.84440309209688,2.39025165315774
386,3343809,94,94046,48.808225347352376,2.4362758210511317
387,3343814,94,94028,48.79660129757846,2.4495315243760767
388,3343815,94,94028,48.78972431608003,2.450836106390663
389,3901292,93,93001,48.90666658787472,2.36523013585438
390,4028974,92,92049,48.81846633711334,2.319643218617825
393,1166826,75,75113,48.82983069527111,2.376120009344837
398,1662797,92,92004,48.93029362287076,2.2837606331952487
401,1683,75,75103,48.86676416781452,2.361571327032732
402,1685,75,75113,48.82615945391136,2.3570194661891253
403,1686,75,75109,48.8763290374387,2.331804568510596
405,1690,75,75107,48.84870084962003,2.321239881938573
406,1692060,93,93066,48.9199435050834,2.3439094197858905
407,1713,92,92063,48.88716813740421,2.170623378282013
408,1720,75,75109,48.878593955236205,2.3378269689170192
411,1733,75,75106,48.8511463550549,2.3309628563664644
412,1738,75,75117,48.88573915969202,2.2918606206755348
415,1760,75,75102,48.86966057219203,2.3363282816417112
416,1762,75,75116,48.85550440300199,2.269959178255765
420,1799,75,75114,48.83175809378841,2.3138665498481625
